RespondentID,Study,Age,Sex,EBRIQ01,EBRIQ02,EBRIQ03,EBRIQ04,EBRIQ05,EBRIQ06,EBRIQ07,SUIS01,SUIS02,SUIS03,SUIS04,SUIS05,SUIS06,SUIS07,SUIS08,SUIS09,SUIS10,SUIS11,SUIS12,PSIQ01,PSIQ02,PSIQ03,PSIQ04,PSIQ05,PSIQ06,PSIQ07,PSIQ08,PSIQ09,PSIQ10,PSIQ11,PSIQ12,PSIQ13,PSIQ14,PSIQ15,PSIQ16,PSIQ17,PSIQ18,PSIQ19,PSIQ20,PSIQ21,PSIQ22,PSIQ23,PSIQ24,PSIQ25,PSIQ26,PSIQ27,PSIQ28,PSIQ29,PSIQ30,PSIQ31,PSIQ32,PSIQ33,PSIQ34,PSIQ35
1294497877,1,46.9,Male,1,1,2,2,2,1,2,4,4,5,4,5,1,3,3,4,5,3,4,10,9,9,10,10,9,9,9,9,10,8,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,9,8,9,9,8,8,9,7
1286824827,1,22.3,Female,3,3,4,4,4,4,3,3,3,5,5,4,2,2,4,3,4,2,2,11,9,10,11,10,11,10,11,10,10,10,10,11,11,11,9,11,11,11,9,11,10,11,11,11,11,10,11,10,11,11,11,10,11,11
1295433062,1,18.7,Female,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,9,8,8,9,9,8,9,8,8,8,9,9,9,9,9,8,7,9,9,8,9,9,9,8,9,9,8,9,9,9,8,9,9,11,9
1301221599,1,54.8,Male,1,3,1,2,3,2,3,3,5,3,5,5,1,5,2,5,5,5,5,11,11,11,11,10,11,10,11,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,8,11,10
1312570093,1,55.8,Female,1,1,1,1,1,1,1,1,5,3,5,5,1,5,3,1,5,1,1,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,11,8,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,11,9,11
1339290924,1,38.9,Female,3,3,4,3,4,3,4,5,4,5,5,5,2,5,2,3,3,2,1,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,9,11,11,10,10,11,11,11,11,11,11,11,10,10,11,10,9,9,9,10
1301635692,1,35,Female,2,2,3,3,2,3,3,3,3,5,5,3,1,1,5,3,3,3,3,10,8,9,10,8,8,9,9,8,9,8,9,8,8,7,8,9,8,7,8,8,9,9,9,9,9,8,8,9,9,9,9,9,9,9
1314557486,1,46.6,Female,2,2,3,3,2,2,3,2,5,5,5,5,3,1,5,5,5,5,5,8,10,10,9,10,10,10,10,8,10,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,11,9,11,9,11
1298469873,1,21.4,Female,2,3,2,2,3,2,2,1,2,5,5,5,1,5,5,5,5,5,5,11,11,10,11,11,10,9,11,10,10,11,10,11,11,11,9,11,11,11,10,10,9,11,11,11,11,11,11,10,10,11,11,9,11,11
1301830307,1,42.3,Female,3,3,4,4,4,3,3,4,3,5,4,5,2,4,4,5,5,4,4,11,11,11,9,11,11,11,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,8,11,11,11,11,11,11
1311703784,1,43.1,Female,2,3,4,2,2,3,3,4,2,4,2,2,2,2,2,2,2,1,4,8,9,9,9,9,9,9,8,7,9,9,9,8,7,8,8,8,9,10,9,9,9,9,9,9,10,8,9,10,9,8,8,9,8,9
1293579046,1,19.5,Female,2,2,4,3,4,3,4,4,4,4,5,5,4,4,5,4,5,5,4,10,9,9,11,8,10,10,10,10,10,10,8,10,10,8,8,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10
1302485453,1,59.2,Female,2,2,2,3,2,2,2,3,2,4,4,4,2,4,2,4,4,3,4,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10
1285656751,1,36.6,Female,2,2,3,4,2,3,3,3,2,2,4,5,4,5,5,5,5,4,5,11,10,8,11,10,10,11,10,10,11,11,10,10,9,10,11,11,11,11,10,11,11,11,11,11,11,9,11,9,11,11,11,11,11,11
1285496179,1,20.1,Female,2,3,3,3,3,3,2,5,4,4,4,4,4,5,5,3,4,4,3,11,10,11,11,10,11,9,10,10,9,10,10,9,10,10,8,10,10,8,9,10,10,10,11,10,10,10,10,10,10,11,9,10,11,11
1310001957,1,54.4,Female,1,1,1,1,1,1,1,3,4,5,3,5,1,4,4,3,5,4,2,11,11,11,11,11,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,11,10,10,10,11,10,10,10,11,10,9,10,11,10,11
1312646071,1,36.8,Female,2,2,3,3,2,3,3,1,1,3,5,5,3,3,1,3,3,3,3,11,11,11,11,11,11,11,11,11,11,8,8,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,10,10,11,10,9
1285542384,1,23.2,Female,3,3,3,2,3,2,2,4,4,5,5,4,2,5,3,3,3,5,4,9,10,9,9,9,10,9,9,8,8,8,8,8,8,7,9,9,9,9,8,10,10,10,10,10,9,9,9,9,9,10,10,10,10,10
1302504311,1,53.5,Male,1,3,3,2,2,3,3,5,3,5,3,4,4,4,5,2,3,3,4,11,11,11,11,11,11,11,11,11,7,9,11,11,11,9,11,11,11,11,11,11,11,10,11,10,11,11,10,11,11,11,11,11,11,11
1305454884,1,33.7,Female,3,1,5,3,2,4,3,4,2,4,2,4,1,4,2,2,4,5,5,11,11,11,11,11,10,10,11,9,11,8,11,11,9,9,11,11,11,11,11,11,11,11,11,11,11,9,9,11,10,11,11,11,11,11
1302480532,1,32.9,Female,4,4,4,3,4,3,4,4,3,5,4,4,1,5,3,4,4,4,4,10,10,10,10,10,9,9,9,9,9,8,8,6,8,8,8,10,9,9,9,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9
